*阿	ā
根源	gēnyuán
*跟	gēn
跟前	gēn·qián
跟隨	gēnsuí
*更	gēng
*更新	gēngxīn
耕	gēng
*耕地	gēngdì
耕作	gēngzuò
*更	gèng
*更加	gèngjiā
*工	gōng
*工廠	gōngchăng
*工程	gōngchéng
*工程師	gōngchéngshī
工地	gōngdì
工夫	gōng·fu
工會	gōnghuì
*工具	gōngjù
*工人	gōng·rén
工商業	gōngshāngyè
*工業	gōngyè
工業化	gōngyèhuà
*工藝	gōngyì
*工資	gōngzī
*工作	gōngzuò
弓	gōng
*公	gōng
公安	gōng'ān
公佈	gōngbù
公公	gōng·gong
*公共	gōnggòng
*公開	gōngkāi
*公理	gōnglĭ
*公路	gōnglù
*公民	gōngmín
公平	gōng·píng
公認	gōngrèn
*公社	gōngshè
*公式	gōngshì
*公司	gōngsī
公有	gōngyŏu
*公有制	gōngyŏuzhì
*公元	gōngyuán
公園	gōngyuán
公正	gōngzhèng
公主	gōngzhŭ
*功	gōng
功夫	gōng·fu
功課	gōngkè
功率	gōnglǜ
*功能	gōngnéng
攻	gōng
*攻擊	gōngjī
*供	gōng
*供給	gōngjĭ
供求	gōngqiú
*供應	gōngyìng
宮	gōng
宮廷	gōngtíng
拱	gŏng
*鞏固	gŏnggù
*共	gòng
*共產黨	Gòngchăndăng
共和國	gònghéguó
共鳴	gòngmíng
*共同	gòngtóng
*供	gòng
*貢獻	gòngxiàn
勾結	gōujié
鉤	gōu
*溝	gōu
溝通	gōutōng
*狗	gŏu
*夠	gòu
構	gòu
*構成	gòuchéng
構思	gòusī
*構造	gòuzào
購	gòu
*購買	gòumăi
*估計	gūjì
*姑娘	gū·niang
孤獨	gūdú
*孤立	gūlì
*古	gŭ
*古代	gŭdài
古典	gŭdiăn
*古老	gŭlăo
古人	gŭrén
*股	gŭ
股票	gŭpiào
*骨	gŭ
骨幹	gŭgàn
骨骼	gŭgé
骨頭	gŭ·tou
*鼓	gŭ
鼓吹	gŭchuī
*鼓勵	gŭlì
鼓舞	gŭwŭ
*穀	gŭ
*固	gù
*固定	gùdìng
*固然	gùrán
*固體	gùtĭ
固有	gùyŏu
固執	gù·zhí
*故	gù
*故事	gù·shi
故鄉	gùxiāng
*故意	gùyì
僱	gù
顧	gù
*顧客	gùkè
顧慮	gùlǜ
顧問	gùwèn
瓜	guā
刮	guā
寡婦	guă·fu
*掛	guà
拐	guăi
*怪	guài
怪物	guài·wu
*官	guān
官兵	guānbīng
官吏	guānlì
官僚	guānliáo
官員	guānyuán
冠	guān
*關	guān
關閉	guānbì
關懷	guānhuái
*關鍵	guānjiàn
關節	guānjié
關聯	guānlián
*關係	guān·xì
*關心	guānxīn
*關於	guānyú
關注	guānzhù
*觀	guān
*觀測	guāncè
*觀察	guānchá
*觀點	guāndiăn
觀看	guānkàn
*觀念	guānniàn
*觀眾	guānzhòng
*管	guăn
管道	guăndào
*管理	guănlĭ
管轄	guănxiá
館	guăn
冠	guàn
*冠軍	guànjūn
*貫徹	guànchè
貫穿	guànchuān
慣	guàn
慣性	guànxìng
灌	guàn
*灌溉	guàngài
*觀	guàn
*光	guāng
光彩	guāngcăi
光滑	guānghuá
*光輝	guānghuī
光景	guāngjĭng
光亮	guāngliàng
光芒	guāngmáng
光明	guāngmíng
*光榮	guāngróng
*光線	guāngxiàn
光學	guāngxué
光源	guāngyuán
光澤	guāngzé
光照	guāngzhào
*廣	guăng
*廣播	guăngbō
廣場	guăngchăng
*廣大	guăngdà
*廣泛	guăngfàn
*廣告	guănggào
*廣闊	guăngkuò
廣義	guăngyì
逛	guàng
*規定	guīdìng
*規範	guīfàn
規格	guīgé
*規劃	guīhuà
規矩	guī·ju
*規律	guīlǜ
*規模	guīmó
*規則	guīzé
*歸	guī
歸來	guīlái
歸納	guīnà
*軌道	guĭdào
*鬼	guĭ
*鬼子	guĭ·zi
桂	guì
*貴	guì
*貴族	guìzú
跪	guì
*滾	gŭn
郭	guō
鍋	guō
*國	guó
國防	guófáng
國會	guóhuì
*國際	guójì
*國家	guójiā
*國民	guómín
國情	guóqíng
國土	guótŭ
*國王	guówáng
*國務院	guówùyuàn
*國營	guóyíng
國有	guóyŏu
*果	guŏ
果斷	guŏduàn
*果然	guŏrán
*果實	guŏshí
果樹	guŏshù
裹	guŏ
*過	guò
*過程	guòchéng
過度	guòdù
*過渡	guòdù
*過分	guòfèn
過後	guòhòu
*過來	guò·lái
過年	guònián
*過去	guòqù
*過去	guò·qù
過於	guòyú
哈	hā
*孩子	hái·zi
*還	hái
*海	hăi
海岸	hăi'àn
海拔	hăibá
海帶	hăidài
海關	hăiguān
*海軍	hăijūn
*海面	hăimiàn
海區	hăiqū
海外	hăiwài
海灣	hăiwān
*海洋	hăiyáng
海域	hăiyù
*害	hài
害蟲	hàichóng
*害怕	hàipà
*含	hán
*含量	hánliàng
含義	hányì
*寒	hán
寒冷	hánlěng
罕見	hănjiàn
*喊	hăn
*汗	hàn
汗水	hànshuĭ
旱	hàn
*漢	hàn
*漢語	hànyŭ
漢子	hàn·zi
漢字	hànzì
*行	háng
行列	hángliè
*行業	hángyè
航海	hánghăi
航空	hángkōng
航行	hángxíng
*號	háo
*好	hăo
好比	hăobĭ
*好處	hăo·chù
好多	hăoduō
好看	hăokàn
好人	hăorén
好事	hăoshì
好聽	hăotīng
*好像	hăoxiàng
好轉	hăozhuăn
*好	hào
好奇	hàoqí
好事	hàoshì
耗	hào
耗費	hàofèi
*號	hào
*號召	hàozhào
*呵	hē
*喝	hē
*合	hé
合併	hébìng
*合成	héchéng
合法	héfă
合格	hégé
合乎	héhū
合金	héjīn
*合理	hélĭ
合力	hélì
*合適	héshì
*合同	hé·tong
*合作	hézuò
*合作社	hézuòshè
*何	hé
何必	hébì
何等	héděng
何況	hékuàng
何以	héyĭ
荷	hé
*河	hé
*河流	héliú
*和	hé
*和平	hépíng
和尚	hé·shang
*和諧	héxié
*核	hé
核算	hésuàn
*核心	héxīn
盒	hé
頜	hé
*和	hè
荷	hè
*喝	hè
*黑	hēi
*黑暗	hēi'àn
黑人	hēirén
黑夜	hēiyè
痕跡	hénjì
*很	hěn
*恨	hèn
恆	héng
*恆星	héngxīng
衡量	héngliáng
*橫	héng
橫向	héngxiàng
*橫	hèng
哄	hōng
轟	hōng
洪	hóng
洪水	hóngshuĭ
*宏觀	hóngguān
宏偉	hóngwěi
*紅	hóng
*紅軍	hóngjūn
紅旗	hóngqí
*紅色	hóngsè
哄	hŏng
哄	hòng
喉嚨	hóu·lóng
猴子	hóu·zi
*厚	hòu
厚度	hòudù
*後	hòu
後邊	hòu·biān
後代	hòudài
後方	hòufāng
*後果	hòuguŏ
後悔	hòuhuĭ
*後來	hòulái
*後面	hòu·miàn
*後期	hòuqī
後人	hòurén
後世	hòushì
後天	hòutiān
候	hòu
*乎	hū
呼喊	hūhăn
呼喚	hūhuàn
*呼吸	hūxī
呼籲	hūyù
忽略	hūlüè
*忽然	hūrán
*忽視	hūshì
弧	hú
*和	hú
*胡	hú
*湖	hú
湖泊	húpō
糊塗	hú·tu
蝴蝶	húdié
*核兒	húr
壺	hú
*虎	hŭ
*互	hù
互補	hùbŭ
*互相	hùxiāng
互助	hùzhù
*戶	hù
戶口	hùkŏu
滬	hù
護	hù
護士	hù·shi
*花	huā
花朵	huāduŏ
花費	huā·fèi
花粉	huāfěn
花色	huāsè
花生	huāshēng
花紋	huāwén
花園	huāyuán
划	huá
*華	huá
華北	huáběi
華僑	huáqiáo
滑	huá
滑動	huádòng
*化	huà
化工	huàgōng
化合	huàhé
*化合物	huàhéwù
化石	huàshí
*化學	huàxué
*話	huà
話劇	huàjù
話題	huàtí
話筒	huàtŏng
話語	huàyŭ
*華	Huà
*畫	huà
*畫家	huàjiā
*畫面	huàmiàn
劃	huà
*劃分	huàfēn
*懷	huái
懷抱	huáibào
懷念	huáiniàn
*懷疑	huáiyí
*壞	huài
壞人	huàirén
歡樂	huānlè
歡喜	huānxĭ
*歡迎	huānyíng
*還	huán
還原	huányuán
*環	huán
*環節	huánjié
*環境	huánjìng
環流	huánliú
緩	huăn
緩和	huănhé
*緩慢	huănmàn
幻覺	huànjué
*幻想	huànxiăng
*患	huàn
*患者	huànzhě
喚	huàn
喚起	huànqĭ
*換	huàn
荒	huāng
慌	huāng
*皇帝	huángdì
*黃	huáng
黃昏	huánghūn
*黃金	huángjīn
*黃色	huángsè
黃土	huángtŭ
晃	huăng
晃	huàng
*灰	huī
灰塵	huīchén
灰色	huīsè
*恢復	huīfù
揮	huī
輝煌	huīhuáng
*回	huí
*回答	huídá
回顧	huígù
回歸	huíguī
*回來	huí·lái
*回去	huí·qù
*回頭	huítóu
*回憶	huíyì
迴避	huíbì
毀	huĭ
毀滅	huĭmiè
*會	huì
會場	huìchăng
會見	huìjiàn
*會議	huìyì
會員	huìyuán
繪	huì
*繪畫	huìhuà
*彙報	huìbào
婚	hūn
婚禮	hūnlĭ
*婚姻	hūnyīn
*混	hún
渾身	húnshēn
魂	hún
*混	hùn
*混合	hùnhé
*混亂	hùnluàn
混淆	hùnxiáo
*和	huó
*活	huó
*活動	huó·dòng
*活力	huólì
*活潑	huó·po
*活躍	huóyuè
*火	huŏ
火柴	huŏchái
*火車	huŏchē
火光	huŏguāng
*火箭	huŏjiàn
火山	huŏshān
火星	huŏxīng
火焰	huŏyàn
夥伴	huŏbàn
*或	huò
或許	huòxŭ
*或者	huòzhě
*和	huò
*貨	huò
*貨幣	huòbì
貨物	huòwù
*獲	huò
*獲得	huòdé
獲取	huòqŭ
肌	jī
*肌肉	jīròu
飢餓	jī'è
*基	jī
*基本	jīběn
*基層	jīcéng
*基礎	jīchŭ
*基地	jīdì
*基督教	Jīdūjiào
基建	jījiàn
*基金	jījīn
*基因	jīyīn
基於	jīyú
*幾乎	jīhū
*機	jī
機場	jīchăng
機車	jīchē
*機構	jīgòu
*機關	jīguān
*機會	jī·huì
*機能	jīnéng
*機器	jī·qì
機器人	jī·qìrén
機體	jītĭ
*機械	jīxiè
機械化	jīxièhuà
*機制	jīzhì
畸形	jīxíng
激	jī
*激動	jīdòng
*激發	jīfā
激勵	jīlì
*激烈	jīliè
激情	jīqíng
激素	jīsù
*積	jī
*積極	jījí
*積極性	jījíxìng
*積纍	jīlěi
積壓	jīyā
擊	jī
*雞	jī
*及	jí
*及時	jíshí
*級	jí
*即	jí
即將	jíjiāng
*即使	jíshĭ
*急	jí
急劇	jíjù
*急忙	jímáng
急性	jíxìng
急需	jíxū
急於	jíyú
*集	jí
集合	jíhé
集會	jíhuì
*集體	jítĭ
*集團	jítuán
*集中	jízhōng
集資	jízī
*極	jí
極端	jíduān
極力	jílì
*極其	jíqí
*極為	jíwéi
*疾病	jíbìng
己	jĭ
脊	jĭ
*幾	jĭ
幾何	jĭhé
*給予	jĭyŭ
*擠	jĭ
濟濟	jĭjĭ
*技能	jìnéng
*技巧	jìqiăo
*技術	jìshù
技術員	jìshùyuán
技藝	jìyì
季	jì
季風	jìfēng
*季節	jìjié
*既	jì
*既然	jìrán
*既是	jìshì
紀錄	jìlù
*紀律	jìlǜ
紀念	jìniàn
*記	jì
*記得	jì·dé
*記錄	jìlù
*記憶	jìyì
*記載	jìzăi
*記者	jìzhě
*計	jì
*計劃	jìhuà
*計算	jìsuàn
寂靜	jìjìng
寂寞	jìmò
寄	jì
寄生	jìshēng
寄生蟲	jìshēngchóng
寄託	jìtuō
祭	jì
祭祀	jìsì
*劑	jì
濟	jì
繼	jì
*繼承	jìchéng
繼承人	jìchéngrén
*繼續	jìxù
*繫	jì
*加	jiā
*加工	jiāgōng
加緊	jiājĭn
加劇	jiājù
*加快	jiākuài
*加強	jiāqiáng
*加熱	jiārè
*加入	jiārù
加深	jiāshēn
*加速	jiāsù
*加以	jiāyĭ
加重	jiāzhòng
*夾	jiā
*家	jiā
家畜	jiāchù
家人	jiārén
家屬	jiāshŭ
*家庭	jiātíng
家務	jiāwù
*家鄉	jiāxiāng
*家長	jiāzhăng
家族	jiāzú
*傢伙	jiā·huo
傢俱	jiā·jù
*夾	jiá
*甲	jiă
甲板	jiăbăn
鉀	jiă
*假	jiă
假定	jiădìng
*假如	jiărú
*假設	jiăshè
假使	jiăshĭ
*架	jià
架子	jià·zi
駕駛	jiàshĭ
*假	jià
嫁	jià
*價	jià
*價格	jiàgé
價錢	jià·qián
*價值	jiàzhí
*尖	jiān
*尖銳	jiānruì
肩	jiān
肩膀	jiānbăng
*兼	jiān
*堅持	jiānchí
*堅定	jiāndìng
堅固	jiāngù
*堅決	jiānjué
堅強	jiānqiáng
堅實	jiānshí
堅硬	jiānyìng
*間	jiān
*監督	jiāndū
監視	jiānshì
監獄	jiānyù
艱巨	jiānjù
*艱苦	jiānkŭ
艱難	jiānnán
殲滅	jiānmiè
剪	jiăn
揀	jiăn
減	jiăn
*減輕	jiănqīng
減弱	jiănruò
*減少	jiănshăo
撿	jiăn
檢	jiăn
*檢查	jiănchá
*檢驗	jiănyàn
*鹼	jiăn
繭	jiăn
簡	jiăn
簡稱	jiănchēng
*簡單	jiăndān
簡化	jiănhuà
*簡直	jiănzhí
*件	jiàn
*見	jiàn
*見解	jiànjiě
*見面	jiànmiàn
*建	jiàn
*建國	jiànguó
*建立	jiànlì
*建設	jiànshè
*建議	jiànyì
建造	jiànzào
*建築	jiànzhù
*健康	jiànkāng
*健全	jiànquán
健壯	jiànzhuàng
*鍵	jiàn
*間	jiàn
間隔	jiàngé
*間接	jiànjiē
*漸漸	jiànjiàn
劍	jiàn
箭	jiàn
鑑別	jiànbié
*鑒定	jiàndìng
*江	jiāng
江南	jiāngnán
*將	jiāng
將近	jiāngjìn
*將軍	jiāngjūn
*將來	jiānglái
將要	jiāngyào
漿	jiāng
獎	jiăng
獎金	jiăngjīn
獎勵	jiănglì
*蔣	Jiăng
*講	jiăng
*講話	jiănghuà
講究	jiăng·jiū
講述	jiăngshù
降	jiàng
*降低	jiàngdī
降落	jiàngluò
降水	jiàngshuĭ
*強	jiàng
*將	jiàng
*交	jiāo
交叉	jiāochā
交錯	jiāocuò
交代	jiāodài
*交換	jiāohuàn
*交際	jiāojì
*交流	jiāoliú
交談	jiāotán
交替	jiāotì
*交通	jiāotōng
*交往	jiāowăng
*交易	jiāoyì
交織	jiāozhī
郊區	jiāoqū
*教	jiāo
*教學	jiāoxué
焦	jiāo
焦點	jiāodiăn
焦急	jiāojí
澆	jiāo
膠	jiāo
驕傲	jiāo'ào
嚼	jiáo
*角	jiăo
*角度	jiăodù
角落	jiăoluò
*腳	jiăo
腳步	jiăobù
腳下	jiăoxià
腳印	jiăoyìn
攪	jiăo
*叫	jiào
*叫做	jiàozuò
*校	jiào
*教	jiào
*教材	jiàocái
教導	jiàodăo
*教會	jiàohuì
教練	jiàoliàn
*教師	jiàoshī
教室	jiàoshì
*教授	jiàoshòu
教堂	jiàotáng
*教學	jiàoxué
*教訓	jiàoxùn
教養	jiàoyăng
教義	jiàoyì
*教育	jiàoyù
教員	jiàoyuán
*較	jiào
*較為	jiàowéi
*覺	jiào
*皆	jiē
階層	jiēcéng
*階段	jiēduàn
*階級	jiējí
*接	jiē
*接觸	jiēchù
接待	jiēdài
*接近	jiējìn
接連	jiēlián
*接收	jiēshōu
*接受	jiēshòu
街	jiē
*街道	jiēdào
街頭	jiētóu
*揭露	jiēlù
*揭示	jiēshì
*結	jiē
*結果	jiēguŏ
結實	jiē·shi
傑出	jiéchū
*結	jié
*結構	jiégòu
*結果	jiéguŏ
*結合	jiéhé
*結婚	jiéhūn
*結晶	jiéjīng
結局	jiéjú
*結論	jiélùn
*結束	jiéshù
結算	jiésuàn
*節	jié
*節目	jiémù
*節日	jiérì
節省	jiéshěng
*節約	jiéyuē
*節奏	jiézòu
截	jié
竭力	jiélì
潔白	jiébái
*姐姐	jiě·jie
姐妹	jiěmèi
*解	jiě
解除	jiěchú
解答	jiědá
*解放	jiěfàng
解放軍	jiěfàngjūn
*解決	jiějué
解剖	jiěpōu
解散	jiěsàn
*解釋	jiěshì
解脫	jiětuō
*介紹	jièshào
戒	jiè
*屆	jiè
*界	jiè
*界限	jièxiàn
*借	jiè
借鑒	jièjiàn
借款	jièkuăn
借用	jièyòng
借助	jièzhù
*解	jiè
藉口	jièkŏu
*今	jīn
*今後	jīnhòu
*今年	jīnnián
*今日	jīnrì
*今天	jīntiān
*斤	jīn
*金	jīn
金額	jīn'é
金牌	jīnpái
金錢	jīnqián
金融	jīnróng
*金屬	jīnshŭ
津	jīn
*僅	jĭn
謹慎	jĭnshèn
*緊	jĭn
*緊急	jĭnjí
*緊密	jĭnmì
*緊張	jĭnzhāng
錦標賽	jĭnbiāosài
*儘	jĭn
*儘管	jĭnguăn
儘快	jĭnkuài
*儘量	jĭnliàng
*近	jìn
*近代	jìndài
近來	jìnlái
近似	jìnsì
*勁	jìn
晉	jìn
浸	jìn
*進	jìn
*進步	jìnbù
*進程	jìnchéng
進而	jìn'ér
*進攻	jìngōng
*進化	jìnhuà
進軍	jìnjūn
*進口	jìnkŏu
*進來	jìn·lái
進取	jìnqŭ
*進去	jìn·qù
*進入	jìnrù
*進行	jìnxíng
*進展	jìnzhăn
*禁止	jìnzhĭ
*盡	jìn
盡力	jìnlì
*盡量	jìnliàng
*京	jīng
京劇	Jīngjù
鯨	jīng
*莖	jīng
*經	jīng
*經常	jīngcháng
經典	jīngdiăn
經費	jīngfèi
*經過	jīngguò
*經濟	jīngjì
*經理	jīnglĭ
*經歷	jīnglì
經受	jīngshòu
*經驗	jīngyàn
*經營	jīngyíng
*晶	jīng
*晶體	jīngtĭ
*精	jīng
*精力	jīnglì
精密	jīngmì
*精確	jīngquè
*精神	jīngshén
*精神	jīng·shen
精細	jīngxì
精心	jīngxīn
精子	jīngzĭ
驚	jīng
驚奇	jīngqí
驚人	jīngrén
驚喜	jīngxĭ
驚醒	jīngxĭng
驚訝	jīngyà
驚異	jīngyì
井	jĭng
景	jĭng
景色	jĭngsè
景物	jĭngwù
景象	jĭngxiàng
頸	jĭng
*警察	jĭngchá
警告	jĭnggào
警惕	jĭngtì
*勁	jìng
徑	jìng
*淨	jìng
淨化	jìnghuà
*靜	jìng
靜脈	jìngmài
靜止	jìngzhĭ
*竟	jìng
竟然	jìngrán
境	jìng
境地	jìngdì
*境界	jìngjiè
*鏡	jìng
鏡頭	jìngtóu
鏡子	jìng·zi
敬	jìng
競賽	jìngsài
*競爭	jìngzhēng
究	jiū
*究竟	jiūjìng
糾紛	jiūfēn
*糾正	jiūzhèng
*九	jiŭ
*久	jiŭ
*酒	jiŭ
酒精	jiŭjīng
*救	jiù
救國	jiùguó
救濟	jiùjì
*就	jiù
*就是	jiùshì
就算	jiùsuàn
就業	jiùyè
舅舅	jiù·jiu
*舊	jiù
*車	jū
*居	jū
*居民	jūmín
*居然	jūrán
居於	jūyú
*居住	jūzhù
*局	jú
*局部	júbù
*局面	júmiàn
局勢	júshì
局限	júxiàn
菊花	júhuā
咀嚼	jŭjué
*舉	jŭ
*舉辦	jŭbàn
舉動	jŭdòng
*舉行	jŭxíng
巨	jù
*巨大	jùdà
*拒絕	jùjué
距	jù
*距離	jùlí
*句	jù
*句子	jù·zi
*具	jù
*具備	jùbèi
*具體	jùtĭ
*具有	jùyŏu
俱	jù
聚	jù
聚集	jùjí
劇	jù
*劇本	jùběn
劇場	jùchăng
劇烈	jùliè
劇團	jùtuán
劇種	jùzhŏng
*據	jù
據點	jùdiăn
*據說	jùshuō
捐	juān
*圈	juān
*捲	juăn
*卷	juàn
*圈	juàn
*角	jué
*角色	juésè
*決	jué
*決策	juécè
*決定	juédìng
決定性	juédìngxìng
*決心	juéxīn
*決議	juéyì
*絕	jué
*絕對	juéduì
絕望	juéwàng
*覺	jué
*覺得	jué·dé
*覺悟	juéwù
嚼	jué
君	jūn
君主	jūnzhŭ
*均	jūn
均衡	jūnhéng
*均勻	jūnyún
*軍	jūn
*軍隊	jūnduì
*軍閥	jūnfá
軍官	jūnguān
軍艦	jūnjiàn
軍民	jūnmín
*軍人	jūnrén
*軍事	jūnshì
*菌	jūn
咖啡	kāfēi
卡	kă
*開	kāi
開辦	kāibàn
開採	kāicăi
開創	kāichuàng
*開發	kāifā
*開放	kāifàng
開關	kāiguān
開花	kāihuā
*開會	kāihuì
開墾	kāikěn
*開口	kāikŏu
開闊	kāikuò
開門	kāimén
開幕	kāimù
*開闢	kāipì
開設	kāishè
*開始	kāishĭ
開水	kāishuĭ
開頭	kāitóu
開拓	kāituò
開玩笑	kāiwánxiào
*開展	kāizhăn
開支	kāizhī
刊登	kāndēng
刊物	kānwù
*看	kān
勘探	kāntàn
砍	kăn
*看	kàn
看待	kàndài
*看法	kàn·fă
*看見	kàn·jiàn
看望	kàn·wàng
扛	káng
*抗	kàng
抗議	kàngyì
*抗戰	kàngzhàn
*考	kăo
*考察	kăochá
考古	kăogŭ
考核	kăohé
*考慮	kăolǜ
*考試	kăoshì
考驗	kăoyàn
*靠	kào
靠近	kàojìn
*科	kē
*科技	kējì
*科學	kēxué
*科學家	kēxuéjiā
科學院	kēxuéyuàn
*科研	kēyán
*棵	kē
*顆	kē
顆粒	kēlì
咳	ké
咳嗽	ké·sou
殼	ké
*可	kě
*可愛	kě'ài
*可見	kějiàn
*可靠	kěkào
*可憐	kělián
*可能	kěnéng
*可是	kěshì
可謂	kěwèi
*可惜	kěxī
可笑	kěxiào
*可以	kěyĭ
渴望	kěwàng
*克	kè
*克服	kèfú
*刻	kè
刻畫	kèhuà
刻苦	kèkŭ
客	kè
*客觀	kèguān
客氣	kè·qi
*客人	kè·rén
客廳	kètīng
*課	kè
課本	kèběn
*課程	kèchéng
課堂	kètáng
*課題	kètí
肯	kěn
*肯定	kěndìng
啃	kěn
坑	kēng
*空	kōng
*空間	kōngjiān
空軍	kōngjūn
*空氣	kōngqì
空前	kōngqián
空虛	kōngxū
*空中	kōngzhōng
*孔	kŏng
孔雀	kŏngquè
恐怖	kŏngbù
恐慌	kŏnghuāng
恐懼	kŏngjù
*恐怕	kŏngpà
*空	kòng
空白	kòngbái
*控制	kòngzhì
*口	kŏu
口袋	kŏu·dai
*口號	kŏuhào
口腔	kŏuqiāng
口頭	kŏutóu
口語	kŏuyŭ
扣	kòu
*哭	kū
*苦	kŭ
苦難	kŭnàn
苦惱	kŭnăo
庫	kù
庫存	kùcún
褲子	kù·zi
誇張	kuāzhāng
跨	kuà
*快	kuài
快活	kuài·huo
*快樂	kuàilè
快速	kuàisù
快要	kuàiyào
筷子	kuài·zi
*塊	kuài
*會計	kuài·jì
*寬	kuān
寬大	kuāndà
寬闊	kuānkuò
款	kuăn
筐	kuāng
狂	kuáng
況且	kuàngqiě
*礦	kuàng
礦產	kuàngchăn
礦物	kuàngwù
虧	kuī
虧損	kuīsŭn
*昆蟲	kūnchóng
捆	kŭn
困	kùn
困境	kùnjìng
*困難	kùn·nan
闊	kuò
*擴大	kuòdà
擴散	kuòsàn
擴展	kuòzhăn
*擴張	kuòzhāng
*拉	lā
*拉	lá
喇叭	lă·ba
*落	là
辣椒	làjiāo
蠟	là
蠟燭	làzhú
*來	lái
來不及	lái·bùjí
來回	láihuí
來臨	láilín
來往	láiwăng
*來信	láixìn
*來源	láiyuán
賴	lài
蘭	lán
欄	lán
*藍	lán
爛	làn
狼	láng
浪	làng
*浪費	làngfèi
浪花	lànghuā
撈	lāo
牢	láo
勞	láo
*勞動	láodòng
*勞動力	láodònglì
*勞動者	láodòngzhĕ
勞力	láolì
*老	lăo
老百姓	lăobăixìng
老闆	lăobăn
老大	lăodà
老虎	lăohŭ
老年	lăonián
*老婆	lăo·po
*老人	lăorén
老人家	lăo·rén·jiā
*老師	lăoshī
老實	lăo·shi
老鼠	lăo·shŭ
老太太	lăotài·tai
老頭子	lăotóu·zi
*老爺	lăo·ye
老子	lăo·zi
*落	lào
*樂	lè
樂觀	lèguān
雷	léi
雷達	léidá
*纍	léi
*纍	lĕi
*淚	lèi
淚水	lèishuĭ
*累	lèi
*類	lèi
*類似	lèisì
*類型	lèixíng
*冷	lěng
冷靜	lěngjìng
冷卻	lěngquè
冷水	lěngshuĭ
冷笑	lěngxiào
愣	lèng
梨	lí
犁	lí
*離	lí
*離婚	líhūn
*離開	líkāi
*離子	lízĭ
*李	lĭ
*理	lĭ
*理解	lĭjiě
*理論	lĭlùn
*理想	lĭxiăng
*理性	lĭxìng
*理由	lĭyóu
理智	lĭzhì
*裏	lĭ
裏邊	lĭ·biān
*裏面	lĭ·miàn
裏頭	lĭ·tou
*禮	lĭ
禮貌	lĭmào
禮物	lĭwù
*力	lì
*力量	lì·liàng
力氣	lì·qi
力求	lìqiú
力圖	lìtú
*力學	lìxué
*立	lì
*立場	lìchăng
*立法	lìfă
*立即	lìjí
*立刻	lìkè
立體	lìtĭ
*粒	lì
*粒子	lìzĭ
*利	lì
利害	lìhài
利率	lìlǜ
*利潤	lìrùn
利息	lìxī
*利益	lìyì
*利用	lìyòng
*利於	lìyú
*例	lì
*例如	lìrú
例外	lìwài
*例子	lì·zi
*厲害	lì·hai
歷	lì
歷代	lìdài
歷來	lìlái
*歷史	lìshĭ
倆	liă
*連	lián
*連接	liánjiē
連結	liánjié
*連忙	liánmáng
連同	liántóng
*連續	liánxù
蓮子	liánzĭ
廉價	liánjià
聯	lián
聯邦	liánbāng
*聯合	liánhé
聯合國	Liánhéguó
聯絡	liánluò
聯盟	liánméng
*聯繫	liánxì
*聯想	liánxiăng
聯營	liányíng
*臉	liăn
*臉色	liănsè
煉	liàn
*練	liàn
*練習	liànxí
鏈	liàn
戀愛	liàn'ài
良	liáng
*良好	liánghăo
良心	liángxīn
梁	liáng
涼	liáng
*量	liáng
*糧	liáng
*糧食	liáng·shi
*兩	liăng
兩岸	liăng'àn
*兩邊	liăngbiān
兩極	liăngjí
兩旁	liăngpáng
*亮	liàng
涼	liàng
*量	liàng
量子	liàngzĭ
*輛	liàng
遼闊	liáokuò
*了	liăo
了不起	liăo·bùqĭ
*了解	liăojiě
*料	liào
咧	liě
*列	liè
列車	lièchē
列舉	lièjŭ
烈士	lièshì
裂	liè
獵	liè
*林	lín
林木	línmù
林業	línyè
淋	lín
淋巴	línbā
鄰	lín
鄰近	línjìn
鄰居	lín·jū
*磷	lín
臨	lín
*臨床	línchuáng
*臨時	línshí
鈴	líng
齡	líng
*零	líng
零件	língjiàn
零售	língshòu
*靈	líng
靈感	línggăn
*靈魂	línghún
*靈活	línghuó
靈敏	língmĭn
*令	lĭng
*領	lĭng
*領導	lĭngdăo
領會	lĭnghuì
領事	lĭngshì
*領土	lĭngtŭ
*領袖	lĭngxiù
*領域	lĭngyù
嶺	lĭng
*令	lìng
*另	lìng
*另外	lìngwài
溜	liū
*流	liú
流傳	liúchuán
*流動	liúdòng
流露	liúlù
流氓	liúmáng
流派	liúpài
流水	liúshuĭ
流體	liútĭ
*流通	liútōng
流向	liúxiàng
*流行	liúxíng
流血	liúxuè
流域	liúyù
硫	liú
*留	liú
留學	liúxué
瘤	liú
*劉	Liú
柳	liŭ
*六	liù
陸	liù
溜	liù
*龍	lóng
籠	lóng
*壟斷	lŏngduàn
攏	lŏng
籠	lŏng
籠罩	lŏngzhào
*弄	lòng
摟	lōu
*樓	lóu
樓房	lóufáng
摟	lŏu
漏	lòu
*露	lòu
爐	lú
爐子	lú·zi
鹵	lŭ
魯	lŭ
鹿	lù
陸	lù
*陸地	lùdì
陸軍	lùjūn
陸續	lùxù
*路	lù
路程	lùchéng
路過	lùguò
*路線	lùxiàn
路子	lù·zi
錄	lù
*露	lù
驢	lǘ
旅	lǚ
旅館	lǚguăn
旅客	lǚkè
旅行	lǚxíng
旅遊	lǚyóu
*履行	lǚxíng
*鋁	lǚ
縷	lǚ
*律	lǜ
律師	lǜshī
*率	lǜ
氯	lǜ
